name,review_source,review_text,review_rating,review_datetime_utc,sentiment,Claims Process,Premium Increase,Customer Service,Policy Terms & Conditions,Claims Decline or Denial,Policy Cancellation & Refunds,Total,datetime_estimate
AIA Australia,Google,"Very disappointing AIA Health Insurance!
AIA talks the talk with AIA Vitality, but doesnÕt walk the walk. The app is too difficult to navigate and it doesnÕt take all points from physical exercise into account. AIA promises heaps of discounts and vouchers, but then it misses on the points you scored, so you get nothing at the end. DonÕt make promises you canÕt keep!",1,04/17/2023 14:09:36,[Very Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,Terrible experience with AIA for my life insurance policy. The premium was increased twice in 12 months almost doubling my monthly payments. I've moved to another insurer and am now paying less than 1/10th the cost for the same cover! There was a mixup with cancelling my AIA policy and I've still been charged for the policy when not needed. No help from them in trying to reclaim any of the overpayments.,1,3/3/2022 00:01,[Very Negative],1,1,0,0,0,1,1,N
AIA Australia,Google,"Never insure with this company. They are by far the worst. Doing everything they can to try and get out of payment. They twist their own words to make it seem like youÕre going to get paid, then months later, still nothing.
Oh and they also charge you $4800 excess for a claim!!! Yes $4800!!!!",1,6/12/2023 01:23,[Very Negative],1,0,0,0,0,0,1,N
AIA Australia,Google,"Have an ongoing claim linked to income protection insurance . ItÕs a lengthy process to apply ( which I guess is usual with insurance claim ).
The claim was approved .
They then have basically harassed me every single month with nosey and intrusive questions .
I get a small payment once a month . ItÕs is ALWAYS late . My last payment was due 2 weeks ago .
They tell me the delay is because I failed to submit my payslips .
I have now submitted these 5 times to no avail .
Then informed as I have managed to get back to work 12 hrs a week the claim is cancelled .
Utterly useless company .",1,09/28/2022 05:41:14,[Negative],1,0,0,0,0,0,1,N
AIA Australia,Google,"I had a very positive experience calling AIA.   I had an admin issue I needed sorted, I called and was talking to someone within 3 minutes.   I was then greeted and cared for in a very prompt, courteous, and professional manner.  I was a little worried when I saw all the one-star reviews, but AIA customer service squashed those fears.",5,10/15/2021 00:39:04,[Very Positive],0,0,1,0,0,0,1,N
AIA Australia,Google,"Still waiting, one month after a claim was submitted, (and after the expiry of the 30 day waiting period), for payment under an income protection policy. There has been zero correspondence except a letter saying the claim was received. This despite a request (as offered) on the claim documents to make contact by email. (Hopefully to make things quicker). Every correspondence has been initiated by us as claimants. We have had to chase by phone to find out what is happening with the claim. Each time weÕre told something different; the person dealing with you claim is away, (really is that a good reason to delay the claim and disadvantage us?); you need to provide proof of income, (despite having provided every payslip received this year AND a letter from the employer dated within the past month confirming proof of salary). And the current salary is higher than that weÕre claiming!!!! Far out! This insurance company appears to want to make it so difficult to claim that you simply give up... a war of attrition. And during the past two months of not being able to work due to physical disablement we still have to pay full premiums! The only thing saving us from severe financial crisis and going to the media is a credit card and a spouse with an income... I fear for others who are not able to rely on these financially supportive measures in times of crisis when you really should be able to rely on the insurer who has diligently collected your premiums for several years on the promise of protecting your ÔincomeÕ should you be unable to work. So so disappointed. And powerless it seems to effect any response or change.

Edit to post same day: so we have today received correspondence (by mail) from AIA... increasing the premium payable for the claimant! Previously the uninjured partner paid a higher premium and was insured for income double the level of the injured partner. Now, the injured partner pays more than the uninjured partner for less than half the income protection of the other! And yet there has been no funds received for the claim! So the injured claimant is essentially funding his own claim, without receiving any funds for the claim. So so so wrong. Robbery in facr.",1,6/7/2018 14:16,[Negative],1,1,0,0,0,0,2,N
AIA Australia,Google,"AIA have increased my income care insurance policy by 14.9%
This is inconsistent with inflationary pressures and community expectations. My other insurance policies have not increased by this amount. AIA have failed to justify this increase.

UPDATE : AIA have recently re-confirmed that they will not change their pricing increase.",1,08/15/2022 00:16:07,[Negative],0,1,0,1,0,0,2,N
AIA Australia,Google,"After reading all the comments here, i must have been lucky. A lady by the name of Lucy answered and she helped me with my queries.  Then I got transferred to someone else and then they wanted to transfer me to someone else. By this time i was getting a bit annoyed, but kept my cool and got the result i wanted.

While I am happy I would like to make a few suggestions if anyone within AIA is reading this.

1. Like many organizations now, they should provide and option of advising what number / position i am in the queue when in a call.
2. If i would like to receive a call back without losing the position in the queue.",5,04/22/2021 04:52:44,[Positive],1,0,1,0,0,0,2,N
AIA Australia,Google,"Disappointing customer service and archaic process for generating insurance quotes. Contacted AIA to get a requote on an existing policy. They were unable to provide the quote in the phone, instead send it to back office and promise to mail the quote. Never received it. Have a competing (much cheaper) quote from another provider which I will pursue",1,2/6/2020 05:25,[Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,"Friendly staff, but they delay payments causing added burden to being on a claim. Add the reason for the claim in the first place it is very poor situation.

Put a notice of complaint on the Ombudsman regarding any problem you have, escalate it with doctor that it is creating burden and have added to claim documents AIA RC 1918 doctors form.

You paid for a service that you do not wish to be using and would rather you health, but that should be supplied as easily as you paid there bill.

Good luck.",1,11/6/2019 00:01,[Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,I was extremely disappointed with the way they handled my mum's income protection claim. They used every trick in the book to avoid paying out the whole figure that was owed to my mother. They owed my mother 13months but only paid 4 months. My mum provided every document they asked for. There're  only good at taking people's money but not paying out what people are owed.,1,04/27/2019 08:19:16,[Very Negative],1,0,0,0,0,0,1,N
AIA Australia,Google,The staff are arrogant and one of the worst insurance companies when you make a claim.  They can make all the excuses in the world for using delaying tactics when processing your claim.  Strongly recommend to keep away from them.,1,12/31/2020 08:14:11,[Very Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,Terrible experience kept waiting for over an hour multiple times on the phone. Sometimes giving up given the cost to me and my time. Slow processing my claim and every road block put on my way.I know insurers work by trying to not pay you when you are in need but this is next level. No service or support . I have changed providers and would like to believe that customer service and helping your clients that ultimately pay thier paycheck counts.,1,10/11/2019 04:30,[Very Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,A letter arrived informing us of a 46% Premium increase. Letter stated that we would get 30 days notice of any rate increase we got 14 days. Extortion!  This was a Cominsure policy that was sold. As a pensioner the premiums are more than the pension.,1,05/17/2021 08:50:11,[Negative],0,1,0,0,0,0,1,N
AIA Australia,Google,"DonÕt waste your money or time with AIA. Worst company to deal with. I feel sorry for the staff, theyÕre not bad people, but the systems they need to follow were made to waste your time, making it near impossible to get your claims. Their security measures are wasting their customers time.",1,8/11/2021 23:12,[Very Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,"Commonwealth bank should not be associated whit these scammers! IÕm getting charged monthly for policy that doesnÕt exist! 3 hours on the phone, emails and got me nowhere, STOP AND GIVE ME MY MONEY BACK!!!",1,7/5/2022 09:19,[Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,"I have not had an unpleasant experience with them. The three times I called them, I did not wait too long on hold either. Client services pleasant to talk to as well.  Currently awaiting claim due next month but will change review if my experience goes horrible.",4,06/13/2018 06:20:56,[Positive],1,0,0,0,0,0,1,N
AIA Australia,Google,Be aware Never signup with this company one of the worse in the market when it comes to customer service and answer the calls. I am trying to get my funds transferred for over a month now into my other super account which meant to take only 5-10 business days but still waiting. Staff have no idea what to say. Stay away.....,1,5/1/2017 06:21,[Very Negative],0,0,1,0,0,0,1,N
AIA Australia,Google,"Firstly I'd like to say that my case hasn't been straight forward as hoped. Due to uncooperative work places,however I've done  as much as I can and after nearly 5 months it's becoming frustrating to say the least, I call and get hung up on due to high caller volumes & then for calls to just get unansweted",1,02/27/2020 06:57:15,[Very Negative],1,0,1,0,0,0,2,N
AIA Australia,Google,"Would not recommend for income protection insurance this was set up threw my super fund and have had nothing but delayed outcomes been waiting over 5months have no communication unless I call and have constant excuses or ""need extra paperwork"" despite asking everytime I call if anything else is needed ... if you are looking for a competent company look elsewhere",1,11/7/2019 01:20,[Negative],0,0,1,1,0,0,2,N
AIA Australia,Google,They cancel your policy and still take your money not a company to be trusted,1,07/13/2023 22:31:10,[Very Negative],0,0,1,0,0,1,2,N
AIA Australia,Google,I like the insurance Plan + AIA Vitality Program + Fitness Watch pay off by exercising. Great modern and innovative.,4,9/7/2021 11:40,[Positive],0,0,0,0,0,0,0,N
AIA Australia,Google,Excellent service. Waited only a short time on phone and staff (Mona) was very professional.,5,05/23/2023 05:48:21,[Very Positive],0,0,1,0,0,0,1,N
AIA Australia,Google,"worst experience ever, no one can help you out with anything and they transfer you to so many different departments and still no luck.",1,8/10/2023 03:09,[Very Negative],0,0,0,0,0,0,0,N
AIA Australia,Google,"Good company to deal with, there has  been no hassle.",5,10/15/2023 09:32:07,[Positive],0,0,0,0,0,0,0,N
AIA Australia,Google,"Terribly slow, gives out incorrect information or doesn't listen to you. No wonder they lost the contract with REST.",1,1/5/2020 10:52,[Very Negative],0,0,0,1,0,0,1,N
AIA Australia,Google,"I had call 2time,just say hello and staff cut off",1,04/21/2022 00:27:45,[Very Negative],0,0,1,0,0,0,1,N
AIA Australia,Google,"Bad experience, staff is slow at processing claims and refunds",1,02/18/2019 02:42:18,[Negative],1,0,1,0,0,1,2,N
AIA Australia,Google,They take forever to answer the phone!! So painful!,1,04/27/2017 06:04:25,[Very Negative],0,0,0,0,0,0,0,N
AIA Australia,Google,Good service,5,10/20/2022 19:48:29,[Positive],0,0,0,0,0,0,0,Y
AIA Australia,Product Review,"Zero service with no resonses. Looking at the current reviews can see why one is their rating, do not offer any assistance or advice for the excessive premiums they charge, mine go up 25%+a year, but woe behold if you want any help. Time to look elsewhere from these thieves.",,09/07/2024,[Very Negative],0,1,1,0,0,0,2,Y
AIA Australia,Product Review,Disgraceful. Absolutely hopeless. Could get my income protection or life cover in place after 6months.Charged me whilst not covering. And would never update or return emails or messages,,08/15/2024,[Very Negative],0,0,1,1,0,0,2,Y
AIA Australia,Product Review,"Total avoidance. One star is way too much for this company!! They go above and beyond a drag out my claim to avoid paying!! Good luck, I'm going to make sure we go all the way to court to have my policy enforced, lawyers may take it all but so be it, I prefer them to have it then this low excuse for an insurance company, avoid them at all costs",,07/14/2024,[Very Negative],1,0,0,1,1,0,3,Y
AIA Australia,Product Review,"not transparent at all ! be careful. I should have check this site before singing up with them. Luckly I didn't have to claim anything from them. It's very unclear service, many hiddent items you won't be aware unless you read it carefully. you can see how their service is not transparent and unfair when you try to cancel with them, it's a headache ! they get you in one second but they wont let you out ! Not recommneded at all.",,05/15/2024,[Very Negative],0,0,0,1,0,1,2,Y
AIA Australia,Product Review,"AIA will help you if you are genuinely injured or sick. I am self employed and experienced an extremely painful and debilitating injury that left me incapacitated and unable to work. It was an incredibly scary time, suddenly being in a situation where I was unable to earn any income whatsoever, and in so much terrible pain. I claimed under my AIA IP policy and was receiving benefits from AIA for 18 months. I provided all relevant medical information to AIA at the start from my doctors, and the claims process was fast and efficient. I was kept informed regularly by my case manager and approval of the claim occurred within two weeks of my application. As I began to recover, AIA supported me to return to work in a gradual capacity, and continued to pay me a partial disability benefit every month. I had two different case managers during my claim and both were very courteous and professional. They could see I was doing my best, and they threw their support behind me. I honestly have nothing but absolute praise for this company. They were totally there for me in a very stressful and painful time of my life, and supported me ENTIRELY. I am forever grateful. If you are genuinely injured or unwell, you are honestly in excellent hands here and will be taken care of by this company. - Thank you AIA !",,05/15/2024,[Very Positive],1,0,1,0,0,0,2,Y
AIA Australia,Product Review,"High premiums, slow claims resolution and updates, better to seek better alternatives. My claim was submitted in November 2023 (5 months ago). AIA repeatedly requested more information but provided minimal updates, prompting me to initiate weekly progress updates. The 15-day Life Insurance Code of Practice (the Code) often resulted in ""no update"" notices, is likely to meet the 15-day requirement. Approval is still pending, and I'm still paying premiums. The confusion in the process worsens my health issues.",,04/15/2024,[Negative],1,1,1,0,0,0,3,Y
AIA Australia,Product Review,"You'll be better off with your own savings!. I was talked into income protection by my financial advisor on the offchance I'd need it (30 day waiting period included). Unfortunately had to claim it. Stopped working over three months ago and they're only just now getting around to requesting information from my medical providers; which wouldn't been so offensive if the 'case manager' hadn't put the wrong name on all the requests. Completely useless. Absolutely incompetent. Short of Death/TPD payouts, AIA are about as useful as a wet Woolies paperbag.",,11/17/2023,[Very Negative],1,0,1,0,0,0,2,Y
AIA Australia,Product Review,"Incompetent calculations ,lengthy claims. AIA calculated incorrectly my IP pre disability income from 2016, have paid me wrong smaller amounts. It has been more that 3 months since they have all medical/ financials but still keep delaying it every week. Very frustrating!",,11/17/2023,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,"Waste of time and not worth the negative impact on your health. Weather you have a rolled ankle or been diagnosed with lymphoma, you very quickly find that the tedious paperwork and back & forth with the service agents is structured in such a way that AIA cleverly encourages you to give up.",,09/13/2023,[Negative],1,0,1,0,0,0,2,Y
AIA Australia,Product Review,This company pushes one button. That's their job. They pretend they don't know your circumstances and therefore can't answer questions. They know exactly my circumstances but are currently trying to gaslight me into thinking it's my fault that they didn't pay me correctly. Andrew and Debbie are as bad as each other and will try to place the blame on you after they make a mistake.,,09/13/2023,[Very Negative],1,0,1,0,0,0,2,Y
AIA Australia,Product Review,"This is not the last you hear from me. Complex and very time consuming application process and after 7 months of making numerous phone calls AIA decides to decline my application. After mishandling my case from the very beginning, not responding to emails and phone calls. Feeling like there is no one I could talk with who is willing to listen I made a complaint and after just one month the complaints person suggests I make a complaint with AFCA as she was unable to address the issue with the level of incompetent staff at AIA. Now my claim is under review internally over 2 weeks and still waiting. I will take this further whatever I have to do to get Justice",,09/13/2023,[Very Negative],1,0,1,0,1,0,3,Y
AIA Australia,Product Review,Insane increases. This company has tripled premiums over the past 3 years and when you ask them why they are not able to justify the increases the staff are hopeless often sending out the wrong paper work and when you ask for this to be handled by a senior complaints person they then talk of the top of you in a condescending manner. Keep going like this and you will have no customers left I have been with this policy for 20 years !! .,,03/14/2023,[Very Negative],0,1,1,0,0,0,2,Y
AIA Australia,Product Review,"Income protection for neurological injury. I have been on income protection with AIA for 2 years now. My claims manager sends pay advices when they feel like it. I hardly ever receive them, despite multiple requests. My pay goes in when they feel like paying, sometimes early, sometimes on time and sometimes late. When you have huge medical expenses and get paid monthly and then receive your pay late, it makes things really hard financially to not have received any income for such a long period of time. Everytime they‚Äôre late they cause my account to overdraw because direct debits come out. Will AIA be covering my overdrawn fees? A number of times I‚Äôve received forms with other peoples personal information in it. I have cognitive difficulties and my case manager constantly refers to emails they‚Äôve sent when they actually haven‚Äôt and I find that‚Äôs degrading to my disability, it sends me into a spin and I get worked up thinking I‚Äôve missed it and when I search emails the said conversations never took place. I am constantly having to provide updates, I‚Äôm about to be transferred over to a new claims manager and I complained about constantly being contacted for. Turns out the claims manager hasn‚Äôt been updating my file with all the dates I provided updates, so hence the need for him to continue to request updates when he isn‚Äôt keeping track. Argh these are just a few examples off the top of my head.",,03/14/2023,[Very Negative],1,0,1,0,0,0,2,Y
AIA Australia,Product Review,"Restarting work thank god. and since getting rid of these urchins, i feel better and mental stress has stopped. But guess what i will never do again. AIA are deceitful and i suggest people do not give your money to them. Go elsewhere. I may never be injury free, but id rather take the risk and go without this place. Stand up to them, i took the risk and cancelled my policy, best thing i ever did",,03/14/2023,[Very Negative],0,0,1,0,0,1,2,Y
AIA Australia,Product Review,A company with NO moral compass. I‚Äôm living with an incurable brain tumour and they cut my monthly income by $871.24. I‚Äôve been dealing with this company for 5 years now and they are beyond heartless. I have an incurable and inoperable brain tumour.,,03/14/2023,[Very Negative],0,0,1,0,0,0,1,Y
AIA Australia,Product Review,"Terrible company!. Disgusting and inhumane! I got income protection from these guys. They tried to scam me out of money. I had to call them and do the calculations for them so I could receive what I was legally covered for. I dealt with Sandra (don‚Äôt know the last name). She‚Äôs a liar, the company cheat you and they try everything they can to not pay you and when they do they try scare tactics to get it back. I was ready and willing to go to court but then magically they stopped contacting me. Obviously I stopped my income protection with them. If you are looking for any insurance or cover please look somewhere else and make sure you read reviews first. During this period that I was dealing with AIA, I was going through a horrible time not being able to work. It was really difficult. They take advantage of your situation and use it against you. How these people sleep at night is beyond me. Trying to use an honest persons situation against them is beyond disgusting! BEWARE",,03/14/2022,[Very Negative],1,0,1,0,0,1,3,Y
AIA Australia,Product Review,Honest review. I‚Äôm the person who doesn‚Äôt look much at reviews. I ran multiple companies with 30+ full time staff. Please take my advice don‚Äôt go near AIA. I‚Äôve spent almost 2 years dealing with them during a claim and I‚Äôm worse off than at the beginning including dealing with the Australian ombudsman AFCA. I‚Äôve stated 37 policy breaches and have 7 claims managers who all magically change when I have a question. If you suffer from mental health just go straight to a lawyer I‚Äôve never seen such breaches of contract and I‚Äôve personally written contracts for large construction projects. I hope this helps someone,,03/14/2022,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,Post cancer patient & mental health. I had a triple negative breast cancer which has affected my mobility plus mental health issues from workplace bullying and domestic violence. My claim is going to take years from what I‚Äôve read. I can‚Äôt live in poverty for much longer..,,03/14/2022,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,"Lies and Misrepresentation of Medical Information to Suit themselves. They like to cherry pick information and twist the facts, such as chronology of symptoms, the actualmeaning of the doctors words in the report and assign spurious associations and correlationsto try and avoid paying what you are owed.Currently in the process of contacting AFCA and LawyersI might also see what the media has to say about it",,03/14/2022,[Very Negative],0,0,0,0,0,0,0,Y
AIA Australia,Product Review,"Worst Insurance Company with ZERO care !. After reading all the reviews I don't need to harp on of how terrible AIA as a company and their underwriters are. A claim was made to feel impossible with a whole lot of jargon flooding my inbox. But please everyone out their battling for what they pay a premium for and deserve through a hard time DO NOT GIVE UP and do not take any "" Goodwill"" payments from this unethical company. After many months back a forth with AIA and taking my complaint to AFCA I had a little win with AIA at fault and still tried to off me a "" goodwill"" aka hush money. I didn't do it for the money I did it for the struggle other families would go through. I was forced back to work after a knee reconstruction due the unethical lack of care and concerns",,03/14/2022,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,"DONT BOTHER TALKING TO THEM. So yeah, AIA looks like going to ruin my Christmas for the first time.",,03/14/2022,[Negative],0,0,0,0,0,0,0,Y
AIA Australia,Product Review,"Never again!. I've been waiting for an outcome on IP claim for nearly four months.My policy is for a one month waiting period through my Hesta super fund. The advertising says health workers are looked after - which is very false advertising!I'm extremely disheartened. The communication is sparse, and I get asked repeatedly for the same information even when provided numerous times. I've been constantly avoided and have spoken to my 'case' consultant once.My medical files have only just been requested after 3.5 months! Despite being told it was underway and on a one month waiting period.I'll have to hand this over to a lawyer soon as it's now beyond a joke.How do people honestly survive on this product with AIA? Or navigate this claim process if extremely ill or speak another language? All I want is a prompt answer and outcome. I don't see how this process is even legal for a policy paid for from my Super. Wish me luck!! I advise anyone to save their premiums for a rainy day!",,03/14/2022,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,Still under review. Terrible communication . 6 months still waiting income protection . I am not a happy customer .,,03/14/2022,[Very Negative],0,0,0,0,0,0,0,Y
AIA Australia,Product Review,Incompetent - and they couldn't care less. I posted the below 2 weeks ago.,,03/14/2022,[Very Negative],0,0,0,0,0,0,0,Y
AIA Australia,Product Review,Scam!! Take your money but will make you jump through hoops when making a claim look elsewhere for income protection. 3 weeks later and still haven't received my claim payment. My case manager [Name Removed] stop responding to my emails! Had to get gp certificate which I had to pay out of pocket just to say that that the gp certificate wasn't good enough. ** stay far away from AIA**,,03/14/2022,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,"Massive 268% increase in premiums over 4 years without justification. Over the course of less than 4 years AIA have increased my premiums on Life insurance, TPD, Income protection by 268%. When i noticed this i queried and had no response. It took writing a question on this forum to get a reply to which there was no justification, just a breakdown on how they increased over the 4 years. I am now a 48 year old healthy male and the majority of their increases per year being is due to age increase up to 15% PER year.I originally took out these policies to protect my family as i am a sole income provider. The idea was that if some unfortunate event occur then my family wouldn't go bankrupt. The reality of the increase is that 4 years ago, the entire cost of my policies per year was $6800 per year. These premiums are now almost $19,000 and the reality is i am more likely to go bankrupt from dealing with these crooks while i am working than if something unfortunate were to occur.Do yourself a favour and keep as far away for AIA as possible!!!! Increases of 38% a year in any product is theft and there is absolutely no justification for this and I will be raising a complaint with the ombudsman, but most importantly I will use every means available to warn others of this unscrupulous company!Examples of a couple of the policy increases are saved as images as evidence of Warning to Others",,03/14/2022,[Very Negative],0,0,0,0,0,0,0,Y
AIA Australia,Product Review,"AIA income protection. AIA income protection and my case manager Linda Tu ,and previously Tiffany Schick have been supportive,empathetic and highly professional at every stage. I can't thank them enough for their support at the worst stage of my life.",,03/14/2022,[Very Positive],0,0,1,0,0,0,1,Y
AIA Australia,Product Review,"It could not get any worse. I have read all the reviews for AIA here, and thought ... they can't be true. Sadly they are. EVERYTHING with this insurance company is an argument. There is no common sense or logic. They used my sick leave paid in arrears off a forward payment ... and that seems to be okay to their complaints team. Payment was due today, but now they want another doctors review ... only had one a few months ago. I have PTSD - not a cold. They are slow to follow up, slow to answer emails, full of promises and deliver very little. In fact what they are supposed to deliver, they keep finding ways to wriggle out of. I supposedly had 24 months cover, but because my employer chose to pay me for a period of my absence, they write this off as an offset. So actually I have been paying for a policy I don't really get to fully access. I received a settlement from WC for my work place injury - and this is to 'make good' an injury that will prevent me from working in my profession again, including all my medical expenses. AIA offset the whole amount, apart from my medicare expenses and legal fees. If you have AIA Income Protection tied into your superannuation ... my advice is get out and get an independent policy with an underwriter that isn't trying to cut every corner. I knew insurance companies had a bad reputation. This lot take things to a whole new level. I have complained to them (internal complaint review - found in their favour) complained to my Super company ... they just rabbited off what AIA said, so I complained again, and I have complained to AFCRA. I now feel I have no other choice but to make others aware of this dreadful insurance premium. It comes with a health warning to the already unwell.",,03/14/2022,[Very Negative],1,0,1,1,0,0,3,Y
AIA Australia,Product Review,Do not use this company. One of the worst customer service experiences of my life. They claim to care. What they actually care about is getting you off their books. Go elsewhere. There has to be better.,,03/14/2022,[Very Negative],0,0,1,0,0,0,1,Y
AIA Australia,Product Review,"Do a favour and keep away from AIA. I had IP,TPD,LC, Crisis Recovery policies with AIA for almost 3years plus. I just cancelled all of my policies as they use to just increase the premiums without even informing the client. When I started these policies I was paying $200 a month and last month I got charged $380 p/m. When I spoke to them that my premiums are stepped and should not increase at these level (all sort of excuses were told to me). Anyways I cancelled my policies and will not recommend AIA to anyone (keep away from them).",,03/14/2022,[Very Negative],0,1,1,0,1,0,3,Y
AIA Australia,Product Review,"After 14 months - no decision on income protection claim made nor appropriate response for delay received. I represent a complainant who lodged an income protection claim over 12 months ago. Every month the claimant gets a letter stating ""Your claim is still under review with AIA"". The complainant only has a 60 day waiting period, not over 365 day waiting period. Who needs an income protection if it does not pay for one year?",,03/14/2021,[Very Negative],1,0,0,1,0,0,2,Y
AIA Australia,Product Review,"No peace of mind with AIA!. These guys are sheisters! No customer service, no care, lack of transparency, no accountability and now they are withholding my benefits. I think their KPIs are [Word Removed]-about and they should be ashamed of how they treat their customers... no peace of mind here!",,03/14/2021,[Very Negative],1,0,1,0,0,1,3,Y
AIA Australia,Product Review,"Cruel and Inhumane Claims Process. My partner has been paying premiums in good faith for years. After suffering a workplace injury in July 2021, was told that a claim could not be submitted for 90 days. Claim submitted 15 Nov 21. Here we are 2 Feb 22 with no resolution. Ridiculous repeat requests for information. Constantly told it will be approved and never is. It just needs to be assessed. Over and over again.",,03/14/2021,[Very Negative],1,0,0,0,0,0,1,Y
AIA Australia,Product Review,"If I could give a 0 rating I would Worst insurance company to deal with. I have income protection insurance through my super with AIA.5 months of waiting after putting my claim through , me ringing them 2/3 times a week Being told by them numerous times that they are working on it and it will be completed by this Friday I then spent 1.5 hrs on hold to then be told nothing has been done and they will ring me back on Monday I can‚Äôt say how disgusted I am with the treatment I‚Äôve received from AIA",,03/14/2021,[Very Negative],1,0,1,0,0,0,2,Y
